Manufacturer,Model,Gen.,Year,Year-Format,Width,Height,Cells,Type,Velocity,Display,Add. Buttons,Add. Misc UI,Tesselation
Novation,Launchkey 61 Mk2,2,2015,2015-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 61 Mk3,3,2020,2020-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,49SL Mk3,3,2018,2018-01-01,8,2,16,Keyboard,Yes,Yes,Yes,Yes,r
Novation,61SL Mk3,3,2018,2018-01-01,8,2,16,Keyboard,Yes,Yes,Yes,Yes,r
Novation,Launch Control XL,1,2014,2014-01-01,8,2,16,Controller,No,No,Yes,Yes,r
Novation,Launch Control XL,2,2017,2017-01-01,8,2,16,Controller,No,No,Yes,Yes,r
Novation,Circuit,1,2015,2015-01-01,8,4,32,Instrument,Yes,No,Yes,Yes,r
Novation,Circuit Mono Station,1,2017,2017-01-01,8,4,32,Instrument,Yes,No,Yes,Yes,r
Novation,Circuit Rhythm,1,2021,2021-01-01,8,4,32,Instrument,Yes,No,Yes,Yes,r
Novation,Circuit Tracks,1,2021,2021-01-01,8,4,32,Instrument,Yes,No,Yes,Yes,r
Ableton,Push,1,2013,2013-01-01,8,8,64,Controller,Yes,Yes,Yes,Yes,r
Ableton,Push,2,2015,2015-01-01,8,8,64,Controller,Yes,Yes,Yes,Yes,r
Polyend,Seq,1,2017,2017-01-01,32,8,256,Controller,No,Yes,Yes,Yes,r
Polyend,Preset,1,2019,2019-01-01,8,4,32,Controller,No,No,No,Yes,r
Polyend,Tracker,1,2020,2020-01-01,12,4,48,Instrument,No,Yes,Yes,Yes,r
Monome,40h,1,2006,2006-01-01,8,8,64,Controller,No,No,No,No,r
Monome,monome 64,1,2007,2007-01-01,8,8,64,Controller,No,No,No,No,r
Monome,monome 128,1,2007,2007-01-01,16,8,128,Controller,No,No,No,No,r
Monome,monome 256,1,2007,2007-01-01,16,16,256,Controller,No,No,No,No,r
Monome,monome 512,1,2010,2010-01-01,32,16,512,Controller,No,No,No,No,r
Monome,64 grayscale,2,2010,2010-01-01,8,8,64,Controller,No,No,No,No,r
Monome,128 grayscale,2,2010,2010-01-01,16,8,128,Controller,No,No,No,No,r
Monome,monome 128,3,2011,2011-01-01,16,8,128,Controller,No,No,No,No,r
Monome,monome 128,4,2012,2012-01-01,16,8,128,Controller,No,No,No,No,r
Monome,monome 128,5,2013,2013-01-01,16,8,128,Controller,No,No,No,No,r
Monome,monome 128,6,2015,2015-01-01,16,8,128,Controller,No,No,No,No,r
Behringer,cmd lc1,1,2013,2013-01-01,4,8,32,Controller,No,No,Yes,Yes,r
Behringer,cdm dc1,1,2013,2013-01-01,4,4,16,Controller,No,No,Yes,Yes,r
Behringer,cmd touch tc64,1,2015,2015-01-01,8,8,64,Controller,No,No,Yes,No,r
Native instruments,Jam,1,2016,2016-01-01,8,8,64,Controller,No,No,Yes,Yes,r
Native instruments,Traktor Kontrol F1,1,2012,2012-01-01,4,4,16,Controller,No,No,Yes,Yes,r
Native instruments,Maschine,1,2009,2009-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine MK2,2,2012,2012-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine MK3,3,2017,2017-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine Micro,1,2011,2011-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine Micro Mk2,2,2015,2015-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine Micro Mk3,3,2018,2018-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Maschine Studio,1,2013,2013-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
Native instruments,Machine+,1,2020,2020-01-01,4,4,16,Instrument,Yes,Yes,Yes,Yes,r
Native instruments,Traktor Kontrol S2 Mk1,1,2011,2011-01-01,4,2,8,Controller,No,No,Yes,Yes,r
Native instruments,Traktor Kontrol S2 Mk2,2,2014,2014-01-01,4,2,8,Controller,No,No,Yes,Yes,r
Native instruments,Traktor Kontrol S2 Mk3,3,2018,2018-01-01,4,2,8,Controller,No,No,Yes,Yes,r
Native instruments,Traktor Kontrol S3,1,2019,2019-01-01,4,2,8,Controller,No,No,Yes,Yes,r
Native instruments,Traktor Kontrol S4 Mk1,1,2010,2010-01-01,4,2,8,Controller,No,Yes,Yes,Yes,r
Native instruments,Traktor Kontrol S4 Mk2,2,2014,2014-01-01,4,2,8,Controller,No,Yes,Yes,Yes,r
Native instruments,Traktor Kontrol S4 Mk3,3,2018,2018-01-01,4,2,8,Controller,No,Yes,Yes,Yes,r
Native instruments,Traktor Kontrol S8,1,2014,2014-01-01,4,2,8,Controller,No,Yes,Yes,Yes,r
Yamaha,Tenori On,1,2007,2007-01-01,16,16,256,Instrument,No,Yes,Yes,Yes,r
Yamaha,TNR-O,2,2009,2009-01-01,16,16,256,Instrument,No,Yes,Yes,Yes,r
Mode Machines,seq-12,,2018,2018-01-01,16,12,192,Controller,No,Yes,Yes,No,r
Empress,Zoia,1,2019,2019-01-01,8,5,40,Instrument,No,Yes,Yes,Yes,r
Empress,Zoia Euroburo,1,2020,2020-01-01,8,5,40,Instrument,No,Yes,Yes,Yes,r
Akai,APC20,1,2010,2010-01-01,8,5,40,Controller,No,No,Yes,Yes,r
Akai,APC mini,1,2014,2014-01-01,8,8,64,Controller,No,No,Yes,Yes,r
Akai,APC40,1,2009,2009-01-01,8,5,40,Controller,No,No,Yes,Yes,r
Akai,APC40 mk2,2,2014,2014-01-01,8,5,40,Controller,No,No,Yes,Yes,r
